{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/4/1/0/9281661/waterfall_9281661_2024-04-01T00-16-58.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/31/22/9281252/waterfall_9281252_2024-03-31T22-40-16.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/31/19/9280921/waterfall_9280921_2024-03-31T19-24-54.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/31/17/9280042/waterfall_9280042_2024-03-31T17-47-16.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/31/1/9276983/waterfall_9276983_2024-03-31T01-05-16.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/30/23/9276800/waterfall_9276800_2024-03-30T23-28-30.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/30/20/9276003/waterfall_9276003_2024-03-30T20-13-32.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/30/18/9275686/waterfall_9275686_2024-03-30T18-35-34.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/30/16/9275685/waterfall_9275685_2024-03-30T16-59-31.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/30/10/9283032/waterfall_9283032_2024-03-30T10-37-58.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/30/8/9283246/waterfall_9283246_2024-03-30T08-02-27.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/30/1/9272334/waterfall_9272334_2024-03-30T01-53-32.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/30/0/9272083/waterfall_9272083_2024-03-30T00-16-34.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/29/19/9270707/waterfall_9270707_2024-03-29T19-23-52.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/29/17/9269890/waterfall_9269890_2024-03-29T17-47-09.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/29/1/9264893/waterfall_9264893_2024-03-29T01-04-41.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/28/23/9264684/waterfall_9264684_2024-03-28T23-27-58.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/28/20/9263887/waterfall_9263887_2024-03-28T20-12-16.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/28/19/9274780/waterfall_9274780_2024-03-28T19-26-53.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/28/18/9263232/waterfall_9263232_2024-03-28T18-35-01.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/28/6/9263356/waterfall_9263356_2024-03-28T06-49-08.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/28/5/9263355/waterfall_9263355_2024-03-28T05-15-06.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/28/3/9263354/waterfall_9263354_2024-03-28T03-43-30.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/28/1/9260138/waterfall_9260138_2024-03-28T01-52-48.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/28/0/9259906/waterfall_9259906_2024-03-28T00-16-06.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/28/0/9259906/waterfall_9259906_2024-03-28T00-16-06.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/23/9263351/waterfall_9263351_2024-03-27T23-09-33.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/21/9263350/waterfall_9263350_2024-03-27T21-36-32.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/21/9259558/waterfall_9259558_2024-03-27T21-00-44.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/20/9263349/waterfall_9263349_2024-03-27T20-04-11.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/19/9259301/waterfall_9259301_2024-03-27T19-23-03.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/6/9258035/waterfall_9258035_2024-03-27T06-47-29.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/5/9258034/waterfall_9258034_2024-03-27T05-13-07.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/3/9258033/waterfall_9258033_2024-03-27T03-41-20.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/2/9255191/waterfall_9255191_2024-03-27T02-40-47.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/2/9258032/waterfall_9258032_2024-03-27T02-10-54.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/1/9254907/waterfall_9254907_2024-03-27T01-04-00.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/27/0/9258031/waterfall_9258031_2024-03-27T00-40-00.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/26/23/9258030/waterfall_9258030_2024-03-26T23-07-36.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/26/21/9254278/waterfall_9254278_2024-03-26T21-49-02.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/26/21/9258029/waterfall_9258029_2024-03-26T21-34-34.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/26/20/9253490/waterfall_9253490_2024-03-26T20-11-03.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/26/18/9252943/waterfall_9252943_2024-03-26T18-34-55.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/26/12/9255586/waterfall_9255586_2024-03-26T12-50-40.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/26/6/9258028/waterfall_9258028_2024-03-26T06-45-51.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/26/5/9258027/waterfall_9258027_2024-03-26T05-11-07.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/26/2/9258026/waterfall_9258026_2024-03-26T02-08-38.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/25/23/9258024/waterfall_9258024_2024-03-25T23-05-35.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/25/21/9258023/waterfall_9258023_2024-03-25T21-32-34.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/25/19/9258022/waterfall_9258022_2024-03-25T19-59-58.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/25/19/9258022/waterfall_9258022_2024-03-25T19-59-58.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/25/2/9245064/waterfall_9245064_2024-03-25T02-39-57.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/25/1/9244852/waterfall_9244852_2024-03-25T01-03-13.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/24/21/9244218/waterfall_9244218_2024-03-24T21-47-30.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/24/21/9244134/waterfall_9244134_2024-03-24T21-30-32.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/24/20/9243672/waterfall_9243672_2024-03-24T20-10-12.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/24/6/9244132/waterfall_9244132_2024-03-24T06-42-37.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/24/5/9244131/waterfall_9244131_2024-03-24T05-07-03.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/24/3/9239848/waterfall_9239848_2024-03-24T03-27-43.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/24/2/9244130/waterfall_9244130_2024-03-24T02-03-58.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/24/1/9239488/waterfall_9239488_2024-03-24T01-50-59.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/23/22/9239260/waterfall_9239260_2024-03-23T22-35-37.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/23/21/9244127/waterfall_9244127_2024-03-23T21-28-26.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/23/20/9238968/waterfall_9238968_2024-03-23T20-57-53.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/23/6/9244124/waterfall_9244124_2024-03-23T06-41-03.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/23/5/9244123/waterfall_9244123_2024-03-23T05-04-58.png', 'waterfall_status': 'with-signal'}
